,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
27861,12,27444.0,10.0,1.8e-05,27444.0,10.0,0.000814,27444.0,10.0,0.354051
27862,12,26969.0,10.0,2.1e-05,26969.0,10.0,0.000157,26969.0,10.0,0.313668
27863,12,25640.0,10.0,2.2e-05,25640.0,9.0,0.000165,25640.0,10.0,0.272297
27864,12,25808.0,10.0,2e-05,25808.0,10.0,0.000653,25808.0,10.0,0.419008
27865,12,24105.0,10.0,2.8e-05,24105.0,10.0,0.000337,24105.0,11.0,0.36371
27866,12,25072.0,10.0,1.9e-05,25072.0,10.0,0.000212,25072.0,10.0,0.306209
27867,12,23111.0,10.0,1.6e-05,23111.0,10.0,0.000216,23111.0,10.0,0.314944
27868,12,26114.0,10.0,1.5e-05,26114.0,10.0,0.000251,26114.0,10.0,0.298758
27869,12,18780.0,10.0,2.1e-05,18780.0,10.0,0.000189,18780.0,10.0,0.370343
27870,12,25207.0,10.0,2.1e-05,25207.0,10.0,0.0002,25207.0,10.0,0.379232
27871,12,29061.0,10.0,1.9e-05,29061.0,10.0,0.0002,29061.0,10.0,0.337734
27872,12,32135.0,10.0,1.9e-05,32135.0,10.0,0.000442,32135.0,10.0,0.339383
27873,12,29086.0,10.0,2.3e-05,29086.0,10.0,0.000401,29086.0,10.0,0.237742
27874,12,30485.0,10.0,1.2e-05,30485.0,10.0,0.000256,30485.0,10.0,0.233904
27875,12,22779.0,10.0,1.8e-05,22779.0,10.0,0.000292,22779.0,10.0,0.358508
27876,12,28086.0,10.0,1.5e-05,28086.0,10.0,0.000346,28086.0,10.0,0.27499
27877,12,28483.0,10.0,3.2e-05,28483.0,10.0,0.000251,28483.0,10.0,0.335179
27878,12,26921.0,10.0,1.6e-05,26921.0,10.0,0.0002,26921.0,10.0,0.23966
27879,12,24870.0,10.0,1.6e-05,24870.0,10.0,0.000242,24870.0,10.0,0.361214
27880,12,26396.0,10.0,1.9e-05,26396.0,10.0,0.000217,26396.0,10.0,0.413317
27881,12,32854.0,10.0,1.6e-05,32854.0,10.0,0.000184,32854.0,10.0,0.341713
27882,12,23355.0,10.0,1.6e-05,23355.0,10.0,0.000208,23355.0,10.0,0.207859
27883,12,24197.0,10.0,1.7e-05,24197.0,10.0,0.000248,24197.0,10.0,0.31457
27884,12,25568.0,10.0,2e-05,25568.0,10.0,0.000143,25568.0,10.0,0.271397
27885,12,26748.0,10.0,2.2e-05,26748.0,10.0,0.000353,26748.0,10.0,0.373081
27886,12,25590.0,10.0,9e-06,25590.0,10.0,0.000303,25590.0,10.0,0.320164
27887,12,23726.0,10.0,2.1e-05,23726.0,10.0,0.000204,23726.0,10.0,0.363524
27888,12,29339.0,10.0,2.5e-05,29339.0,10.0,0.000323,29339.0,11.0,0.419938
